photo_group,source_images,category,denomination,country,year,mint_mark,design_variety,diameter_mm,weight_g,composition,edge,obverse_text,reverse_text,condition_notes,qty,est_value_low_usd,est_value_high_usd,value_basis,confidence,notes,crop_file,annotated_file,box_id,rare_candidate,rare_reason,visual_flag,visual_flag_reason
Quarter - unidentified rays design,IMG_1213,Circulating Quarter,25 cents,USA,,not legible in photo,"American Women Quarters (?) - robed/dancing figure with radiating ray lines and a diamond-shaped geometric element; closest match appears to be the 2023 ""Maria Tallchief"" (prima ballerina) design, but this is not fully certain from photo angle/wear alone",24.26,5.67,copper-nickel clad over pure copper core,reeded,"...QUARTER DOLLAR (partial arc text, rest obscured by wear/glare)","Standing/dancing robed figure, radiating rays, diamond design element","Moderate wear, some glare obscuring the lettering needed for a certain ID",1,0.25,1,Face value regardless of exact design - modern clad quarters carry no premium,low,This is a 6th quarter that wasn't part of the original 5 identified in earlier passes. Recommend comparing side-by-side with a reference photo of the 2023 Maria Tallchief American Women Quarter to confirm.,IMG_1213_q03_unk.jpg,annotated/IMG_1213.jpeg,q03_unk,,,,
Quarter - Maya Angelou,"IMG_1213, IMG_1206",Circulating Quarter,25 cents,USA,2022,not legible in photo,"American Women Quarters - Maya Angelou (figure with wings/arms raised, rising sun rays)",24.26,5.67,copper-nickel clad over pure copper core,reeded,UNITED STATES OF AMERICA / QUARTER DOLLAR / E PLURIBUS UNUM,MAYA ANGELOU / bird in flight / sunrise rays design,"Lightly circulated, good detail",1,0.25,1,"Face value; first-year 2022 American Women Quarter, common in circulation",high,,IMG_1213_q04_angelou.jpg,annotated/IMG_1213.jpeg,q04_angelou,,,,
Quarter - Colorado,"IMG_1213, IMG_1203, IMG_1205, IMG_1206, IMG_1207",Circulating Quarter,25 cents,USA,2006,not legible in photo,"50 State Quarters - Colorado (""COLORADO 1876"", Rocky Mountains design)",24.26,5.67,copper-nickel clad over pure copper core,reeded,UNITED STATES OF AMERICA / LIBERTY / IN GOD WE TRUST,COLORADO 1876 / mountain landscape,"Circulated, moderate wear",1,0.25,1,Face value; common-date circulated state quarters carry no premium,high,,IMG_1213_q05_co.jpg,annotated/IMG_1213.jpeg,q05_co,,,,
Quarter - West Virginia,"IMG_1213, IMG_1203, IMG_1205, IMG_1207",Circulating Quarter,25 cents,USA,2005,not legible in photo,"50 State Quarters - West Virginia (""WEST VIRGINIA 1863"", New River Gorge Bridge)",24.26,5.67,copper-nickel clad over pure copper core,reeded,UNITED STATES OF AMERICA / LIBERTY / IN GOD WE TRUST,WEST VIRGINIA 1863 / New River Gorge Bridge,"Circulated, light-moderate wear",1,0.25,1,Face value; common-date circulated state quarters carry no premium,high,,IMG_1213_q06_wv.jpg,annotated/IMG_1213.jpeg,q06_wv,,,,
Dime d01,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d01.jpg,annotated/IMG_1213.jpeg,d01,,,,
Dime d02,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d02.jpg,annotated/IMG_1213.jpeg,d02,,,,
Dime d03,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d03.jpg,annotated/IMG_1213.jpeg,d03,,,,
Dime d04,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d04.jpg,annotated/IMG_1213.jpeg,d04,,,,
Dime d05,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d05.jpg,annotated/IMG_1213.jpeg,d05,,,,
Dime d06,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d06.jpg,annotated/IMG_1213.jpeg,d06,,,,
Dime d07,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,1973,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST / 1973,not photographed close enough to read,Moderate to heavy circulation wear,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,"Partial ""1973"" visible at the bottom edge of this crop - not fully confident, verify in hand.",IMG_1213_d07.jpg,annotated/IMG_1213.jpeg,d07,,,,
Dime d08,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d08.jpg,annotated/IMG_1213.jpeg,d08,,,,
Dime d09,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d09.jpg,annotated/IMG_1213.jpeg,d09,,,,
Dime d10,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d10.jpg,annotated/IMG_1213.jpeg,d10,,,,
Dime d11,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d11.jpg,annotated/IMG_1213.jpeg,d11,,,,
Dime d12,"IMG_1213, IMG_1206, IMG_1210",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dime, clad",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Moderate to heavy circulation wear; date obscured/rotated in this crop,1,0.1,0.1,Face value if clad (1965+); would be worth several dollars in silver melt alone if 1964-or-earlier (90% silver) - check edge for a copper-colored stripe (clad) vs uniform silver-gray (silver),low,Edge check: a visible copper-colored line means clad (common); a solid silver-gray edge with no copper line means 90% silver (1964 or earlier) - worth pulling aside.,IMG_1213_d12.jpg,annotated/IMG_1213.jpeg,d12,,,,
Nickel 1,"IMG_1203, IMG_1205, IMG_1206, IMG_1207",Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson Nickel, heavily worn (date not legible)",21.21,5.0,"75% copper, 25% nickel",plain,"LIBERTY (partial, worn smooth)",not clearly photographed,"Heavily worn/smoothed, date illegible in photo",1,0.05,0.05,Face value - worn common-date Jefferson nickels have no numismatic premium,medium,,IMG_1203_n01.jpg,annotated/IMG_1203.jpeg,n01,,,,
Cent grid c1r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln wheat cent (pre-1959),19.05,3.11,"95% copper, 5% tin/zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,wheat ears / ONE CENT,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.05,1.5,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,"Wheat-ears reverse confirms this is a pre-1959 Lincoln cent. Obverse date not legible in this rotation - flip and check against key dates (1909-S VDB, 1909-S, 1914-D, 1922 plain, 1931-S, 1955 DDO) before assuming it's common.",IMG_1209_grid_c1r1.jpg,annotated/IMG_1209.jpeg,grid_c1r1,yes,"Wheat-reverse cent (1909-1958) - worth pulling aside and checking the exact date/mintmark against the key-date list (1909-S VDB, 1909-S, 1914-D, 1922 plain, 1931-S, 1955 DDO) before assuming it's common.",,
Cent grid c1r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Worn/rotated, date not legible from photo.",IMG_1209_grid_c1r2.jpg,annotated/IMG_1209.jpeg,grid_c1r2,,,,
Cent grid c1r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln wheat cent (pre-1959),19.05,3.11,"95% copper, 5% tin/zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,wheat ears / ONE CENT,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.05,1.5,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,"Wheat-ears reverse, dark/corroded - pre-1959 cent, date not legible. Check against key dates before assuming common.",IMG_1209_grid_c1r3.jpg,annotated/IMG_1209.jpeg,grid_c1r3,yes,"Wheat-reverse cent (1909-1958) - worth pulling aside and checking the exact date/mintmark against the key-date list (1909-S VDB, 1909-S, 1914-D, 1922 plain, 1931-S, 1955 DDO) before assuming it's common.",,
Cent grid c1r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Worn/rotated, date not legible from photo.",IMG_1209_grid_c1r4.jpg,annotated/IMG_1209.jpeg,grid_c1r4,,,,
Cent grid c1r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1968,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1968,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c1r5.jpg,annotated/IMG_1209.jpeg,grid_c1r5,,,,
Cent grid c2r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln wheat cent (pre-1959),19.05,3.11,"95% copper, 5% tin/zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,wheat ears / ONE CENT,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.05,1.5,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,"Wheat-ears reverse, dark/corroded - pre-1959 cent, date not legible. Check against key dates before assuming common.",IMG_1209_grid_c2r1.jpg,annotated/IMG_1209.jpeg,grid_c2r1,yes,"Wheat-reverse cent (1909-1958) - worth pulling aside and checking the exact date/mintmark against the key-date list (1909-S VDB, 1909-S, 1914-D, 1922 plain, 1931-S, 1955 DDO) before assuming it's common.",,
Cent grid c2r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1975,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1975,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Partially legible, verify in hand.",IMG_1209_grid_c2r2.jpg,annotated/IMG_1209.jpeg,grid_c2r2,,,,
Cent grid c2r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1974,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Partially legible, verify in hand.",IMG_1209_grid_c2r3.jpg,annotated/IMG_1209.jpeg,grid_c2r3,,,,
Cent grid c2r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Worn, glare obscures the date.",IMG_1209_grid_c2r4.jpg,annotated/IMG_1209.jpeg,grid_c2r4,,,,
Cent grid c2r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1988,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1988,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c2r5.jpg,annotated/IMG_1209.jpeg,grid_c2r5,,,,
Cent grid c3r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c3r1.jpg,annotated/IMG_1209.jpeg,grid_c3r1,,,,
Cent grid c3r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1971,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1971,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c3r2.jpg,annotated/IMG_1209.jpeg,grid_c3r2,,,,
Cent grid c3r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1984,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1984,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c3r3.jpg,annotated/IMG_1209.jpeg,grid_c3r3,,,,
