file,source_type,class_label,denomination,year,confidence,notes
training/American-Eagle-Gold-Bullion-1oz-Reverse.jpg,named_reference,American Eagle Gold Bullion (1oz) (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Gold-Proof-Obverse.jpg,named_reference,American Eagle Gold Proof (obverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Gold-Proof-Reverse.jpg,named_reference,American Eagle Gold Proof (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Palladium-Unc-Obverse.jpg,named_reference,American Eagle Palladium Uncirculated (obverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Palladium-Unc-Reverse.jpg,named_reference,American Eagle Palladium Uncirculated (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Platinum-Proof-Obverse.jpg,named_reference,American Eagle Platinum Proof (obverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Platinum-Proof-Reverse.jpg,named_reference,American Eagle Platinum Proof (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Silver-Bullion-Obverse.jpg,named_reference,American Eagle Silver Bullion (obverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Silver-Bullion-Reverse.jpg,named_reference,American Eagle Silver Bullion (reverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Silver-Proof-Privy-Obverse.jpg,named_reference,American Eagle Silver Proof (Privy Mark) (obverse),bullion/proof/commemorative product,,high,
training/American-Eagle-Silver-Proof-Privy-Reverse.jpg,named_reference,American Eagle Silver Proof (Privy Mark) (reverse),bullion/proof/commemorative product,,high,
training/American-Innovation-Unc-Obverse.jpg,named_reference,American Innovation Dollar (obverse (shared across all states)),bullion/proof/commemorative product,,high,
training/American-Innovation-Unc-Reverse-California.jpg,named_reference,American Innovation Dollar - California (reverse),bullion/proof/commemorative product,,high,
training/American-Innovation-Unc-Reverse-Iowa.jpg,named_reference,American Innovation Dollar - Iowa (reverse),bullion/proof/commemorative product,,high,
training/American-Innovation-Unc-Reverse-Minnesota.jpg,named_reference,American Innovation Dollar - Minnesota (reverse),bullion/proof/commemorative product,,high,
training/American-Innovation-Unc-Reverse-Wisconsin.jpg,named_reference,American Innovation Dollar - Wisconsin (reverse),bullion/proof/commemorative product,,high,
training/115168fs.jpg,fs_auction_photo,Liberty Seated uncertain (dime/quarter/half),uncertain (dime/quarter/half),1844,medium,Shield-and-branch Seated Liberty obverse; denomination not visible in this crop.
training/120703fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1801,medium,Large-size Draped Bust obverse consistent with a dollar.
training/121514fs.jpg,fs_auction_photo,Seated Liberty / Trade Dollar style Dollar (likely Trade Dollar),Dollar (likely Trade Dollar),1878,low,"Full-figure seated Liberty with pole/cap; 1878 postdates the regular Seated Dollar series (ended 1873), suggesting Trade Dollar."
training/121564fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1899,medium,"""IN GOD WE TRUST"" arch present, rules out Barber dime."
training/122773fs.jpg,fs_auction_photo,Seated Liberty / Trade Dollar style Dollar (likely Trade Dollar),Dollar (likely Trade Dollar),1877,low,Same style as 121514fs; 1877 is within the Trade Dollar era.
training/124971fs.jpg,fs_auction_photo,Draped Bust Half Dollar (likely),Half Dollar (likely),1806,medium,"Draped Bust obverse with stars, heraldic-eagle era."
training/128257fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1832,high,
training/129606fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1898,medium,"""IN GOD WE TRUST"" arch present."
training/133070fs.jpg,fs_auction_photo,Barber-style Liberty head uncertain,uncertain,,low,"Date largely illegible, appears to read ~189X."
training/133077fs.jpg,fs_auction_photo,Seated Liberty Dollar (likely),Dollar (likely),1857,medium,"Full-figure seated design with flag/pole, large size consistent with a dollar."
training/134155fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1814,high,
training/134255fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1798,high,"Large size, draped bust with stars."
training/134407fs.jpg,fs_auction_photo,Capped Bust uncertain (half/quarter),uncertain (half/quarter),,low,"Turban/cap design, date not fully legible (~181X)."
training/134481fs.jpg,fs_auction_photo,"Coronet/Liberty head, ""E PLURIBUS UNUM"" uncertain - possibly gold ($1/$2.50)",uncertain - possibly gold ($1/$2.50),1838,low,Motto placement suggests an early gold type rather than silver; not confidently identified.
training/134498fs.jpg,fs_auction_photo,Seated Liberty (Arrows) uncertain (quarter/half),uncertain (quarter/half),1874,medium,Arrows at date typical of the 1873-1874 weight-standard change.
training/134672fs.jpg,fs_auction_photo,"Coronet/Liberty head, ""E PLURIBUS UNUM"" uncertain - possibly gold",uncertain - possibly gold,1890,low,Same ambiguous motto placement as 134481fs; not confidently identified.
training/134720fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1840,medium,
training/134729fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1859,medium,
training/134864fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1842,medium,
training/134872fs.jpg,fs_auction_photo,Capped Bust uncertain (half/quarter),uncertain (half/quarter),1840,low,Date partially legible.
training/135367fs.jpg,fs_auction_photo,Flowing Hair Dollar (likely),Dollar (likely),1794,medium,"1794 falls in the Flowing Hair Dollar's only mintage years (1794-1795) - if genuine this is an extremely rare/valuable reference example, not one of the user's own coins."
training/135616fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1820,high,
training/135641fs.jpg,fs_auction_photo,Barber uncertain (quarter/half/dime),uncertain (quarter/half/dime),1896,medium,
training/135652fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half/dollar),uncertain (quarter/half/dollar),1868,medium,
training/135760fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1840,medium,
training/135761fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1850,medium,
training/135762fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1843,medium,
training/135764fs.jpg,fs_auction_photo,Panama-Pacific Commemorative Gold (octagonal) $50 Gold,$50 Gold,1915,high,"Octagonal shape + ""FIFTY DOLLARS"" + helmeted Liberty head matches the 1915 Panama-Pacific Exposition $50 gold commemorative."
training/135780fs.jpg,fs_auction_photo,Capped Bust uncertain (half/quarter),uncertain (half/quarter),,low,"Date partially legible, appears to be 182X."
training/135873fs.jpg,fs_auction_photo,Draped Bust uncertain (dollar/half),uncertain (dollar/half),1795,medium,
training/136298fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half/dollar),uncertain (quarter/half/dollar),1865,medium,
training/136828fs.jpg,fs_auction_photo,Walking Liberty Half Dollar,Half Dollar,1917,high,Distinctive full-figure walking Liberty design.
training/136838fs.jpg,fs_auction_photo,Draped Bust uncertain (likely half dollar),uncertain (likely half dollar),1806,medium,
training/136839fs.jpg,fs_auction_photo,"Capped Bust uncertain (likely half dollar, lettered edge)","uncertain (likely half dollar, lettered edge)",1818,medium,
training/136840fs.jpg,fs_auction_photo,Seated Liberty (no-drapery style) uncertain (dime/half dime),uncertain (dime/half dime),1845,medium,"Stars fully surround the seated figure, consistent with the smaller no-drapery Seated Liberty dies."
training/136843fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1834,high,
training/136979fs.jpg,fs_auction_photo,Capped Bust uncertain (likely half dollar),uncertain (likely half dollar),,low,Date not legible.
training/137244fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1839,medium,
training/137256fs.jpg,fs_auction_photo,Capped Bust uncertain (likely half dollar),uncertain (likely half dollar),1812,medium,
training/137442fs.jpg,fs_auction_photo,Standing Liberty Quarter,Quarter,1917,high,"Distinctive standing Liberty with shield and ""IN GOD WE TRUST"" - first-year Type 1 (exposed breast) design."
training/137443fs.jpg,fs_auction_photo,Capped Bust uncertain (likely half dollar),uncertain (likely half dollar),1818,low,Date partially legible.
training/137457fs.jpg,fs_auction_photo,Draped Bust uncertain (likely dollar),uncertain (likely dollar),1798,low,Date partially legible.
training/137474fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1829,high,
training/137651fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1830,high,
training/137663fs.jpg,fs_auction_photo,Draped Bust uncertain (likely dollar),uncertain (likely dollar),1801,low,Date partially legible.
training/137664fs.jpg,fs_auction_photo,Seated Liberty (no-drapery style) Dime (likely),Dime (likely),1868,medium,
training/137668fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1890,medium,
training/138272fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1804,low,"Reads as 1804 - if genuine this would be the famous/extremely rare 1804 dollar; far more likely this is a museum/reference restrike photo rather than a coin actually in hand. Treat with skepticism, not as a real find."
training/138273fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1821,high,
training/138345fs.jpg,fs_auction_photo,Trade Dollar Dollar,Dollar,1876,high,"Distinctive seated-on-bale-of-cotton design with wheat sheaf, extended arm - matches the Trade Dollar type specifically (not the regular Seated Dollar)."
training/138611fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1830,high,
training/138661fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1824,medium,Date partially legible.
training/138676fs.jpg,fs_auction_photo,Seated Liberty (no-drapery style) Dime (likely),Dime (likely),1869,medium,
training/138684fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1796,high,
training/138746fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1819,high,
training/138747fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1829,high,
training/138768fs.jpg,fs_auction_photo,Morgan Dollar Dollar,Dollar,1881,high,Distinctive coiled-hair Liberty head + wreath design.
training/138857fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1905,low,Date partially legible.
training/138998fs.jpg,fs_auction_photo,Seated Liberty / Trade Dollar style Dollar,Dollar,1873,low,Date partially legible.
training/139003fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1856,medium,
training/139004fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1831,high,
training/139006fs.jpg,fs_auction_photo,Capped Bust (reduced diameter) uncertain (dime),uncertain (dime),1821,medium,
training/139109fs.jpg,fs_auction_photo,Capped Bust (reduced diameter) uncertain (dime/quarter),uncertain (dime/quarter),1825,medium,
training/139113fs.jpg,fs_auction_photo,Capped Bust (reduced diameter) uncertain (dime/quarter),uncertain (dime/quarter),1822,medium,
training/139351fs.jpg,fs_auction_photo,Seated Liberty (Arrows) uncertain (quarter/half),uncertain (quarter/half),1874,medium,
training/139551fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1831,high,
training/139567fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1799,low,Date partially legible.
training/139569fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half/dollar),uncertain (quarter/half/dollar),1845,medium,
training/139570fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1798,high,
training/139747fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1859,medium,
training/139871fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1867,medium,
training/139975fs.jpg,fs_auction_photo,Capped Bust uncertain (likely half dollar),uncertain (likely half dollar),,low,Date not legible.
training/140326fs.jpg,fs_auction_photo,Mercury (Winged Liberty Head) Dime,Dime,1916,medium,Distinctive winged-cap Liberty head + fasces design; exact date digit uncertain.
training/140328fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1859,low,Date uncertain.
training/140335fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1808,medium,Date partially legible.
training/140341fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1806,low,Date partially legible.
training/140357fs.jpg,fs_auction_photo,Seated Liberty (Arrows) Quarter (likely),Quarter (likely),1853,medium,
training/140368fs.jpg,fs_auction_photo,Morgan Dollar Dollar,Dollar,1888,high,
training/140373fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1895,medium,
training/140376fs.jpg,fs_auction_photo,Seated Liberty / Trade Dollar style Dollar,Dollar,1885,low,"1885 postdates the regular Seated Dollar series (ended 1873) - if a Trade Dollar, 1885 is an extreme rarity (proof-only); treat with skepticism rather than as a real find."
training/140385fs.jpg,fs_auction_photo,Draped Bust Dollar,Dollar,1799,medium,
training/140410fs.jpg,fs_auction_photo,Capped Bust (reduced diameter) uncertain (dime/quarter),uncertain (dime/quarter),,low,Date not legible.
training/140580fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1795,medium,
training/140585fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1846,medium,
training/140621fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1852,medium,
training/140662fs.jpg,fs_auction_photo,Seated Liberty / Trade Dollar style Dollar,Dollar,1878,low,
training/140692fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),,low,Date not legible.
training/140824fs.jpg,fs_auction_photo,Capped Bust (reduced diameter) uncertain (dime/quarter),uncertain (dime/quarter),1818,medium,
training/140825fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1806,low,Date partially legible.
training/140826fs.jpg,fs_auction_photo,Seated Liberty (Arrows) uncertain (quarter/half),uncertain (quarter/half),1874,medium,
training/140834fs.jpg,fs_auction_photo,Seated Liberty uncertain (dime/half dime),uncertain (dime/half dime),1837,medium,
training/140868fs.jpg,fs_auction_photo,Seated Liberty uncertain (half dollar/quarter/dime),uncertain (half dollar/quarter/dime),1839,medium,
training/140936fs.jpg,fs_auction_photo,Seated Liberty uncertain (dime/quarter),uncertain (dime/quarter),1884,medium,
training/140937fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1805,medium,
training/140974fs.jpg,fs_auction_photo,Seated Liberty (Arrows) uncertain (quarter/half),uncertain (quarter/half),1873,medium,
training/141155fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1850,medium,
training/141216fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1805,low,Date partially legible.
training/141225fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1866,medium,
training/141228fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1820,high,
training/141619fs.jpg,fs_auction_photo,Barber Half Dollar (likely),Half Dollar (likely),1903,medium,
training/141915fs.jpg,fs_auction_photo,Seated Liberty uncertain (dime/half dime),uncertain (dime/half dime),1838,medium,
training/141917fs.jpg,fs_auction_photo,Morgan Dollar Dollar,Dollar,,low,"Design certain, date not clearly legible (~1890s)."
training/142157fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1849,medium,
training/142265fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1801,low,Date partially legible.
training/142267fs.jpg,fs_auction_photo,Draped Bust uncertain,uncertain,1805,medium,
training/142268fs.jpg,fs_auction_photo,Seated Liberty Dime (likely),Dime (likely),1885,low,Date partially legible.
training/142269fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1914,medium,
training/142270fs.jpg,fs_auction_photo,Barber uncertain (quarter/half),uncertain (quarter/half),1900,medium,
training/142271fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1847,medium,
training/142283fs.jpg,fs_auction_photo,Capped Bust Half Dollar,Half Dollar,1834,medium,Date partially legible.
training/142333fs.jpg,fs_auction_photo,Seated Liberty uncertain (quarter/half),uncertain (quarter/half),1859,medium,
